grain,window,model,n,wape_micro,forecast_bias,mae,wape_positive,actual_total,pred_total,abs_error_total,n_zero_targets,zero_target_rate,known_n,cold_start_n,brier,log_loss
produit×campagne,1,baseline_zero,801,1.0,-1.0,7.118601747815231,1.0,5702.0,0.0,5702.0,371,0.4631710362047441,0,801,,
produit×campagne,1,mean_global_train,801,1.0,-1.0,7.118601747815231,1.0,5702.0,0.0,5702.0,371,0.4631710362047441,0,801,,
produit×campagne,1,mean_produit_train,801,1.0,-1.0,7.118601747815231,1.0,5702.0,0.0,5702.0,371,0.4631710362047441,0,801,,
produit×campagne,1,mean_categorie_remise_train,801,1.0,-1.0,7.118601747815231,1.0,5702.0,0.0,5702.0,371,0.4631710362047441,0,801,,
produit×campagne,1,taux_pre_campaign_x_duree,801,1.7267437490604802,0.9357430976599687,12.29200107009096,0.8865247782732875,5702.0,11037.607142857141,9845.892857142859,371,0.4631710362047441,0,801,,
produit×campagne,1,derniere_periode_sans_promotion,801,1.6509119607155385,0.8390664929598638,11.752184769038701,0.8614145412637171,5702.0,10486.357142857143,9413.5,371,0.4631710362047441,0,801,,
produit×campagne,2,baseline_zero,569,1.0,-1.0,9.862917398945518,1.0,5612.0,0.0,5612.0,183,0.3216168717047452,569,0,,
produit×campagne,2,mean_global_train,569,0.8545065282794228,-0.27824583134232594,8.427927305279649,0.6223782104158825,5612.0,4050.484394506867,4795.49063670412,183,0.3216168717047452,569,0,,
produit×campagne,2,mean_produit_train,569,0.6433386790211452,-0.3686891185554763,6.345196250732279,0.6289647184604419,5612.0,3542.916666666667,3610.4166666666665,183,0.3216168717047452,569,0,,
produit×campagne,2,mean_categorie_remise_train,569,0.8558690018373395,-0.3694163861201227,8.441365269439629,0.6620601399421019,5612.0,3538.8352410938714,4803.136838311149,183,0.3216168717047452,569,0,,
produit×campagne,2,taux_pre_campaign_x_duree,569,1.234064759189492,0.5601644435393544,12.171478784835552,0.751508247632624,5612.0,8755.642857142857,6925.571428571428,183,0.3216168717047452,569,0,,
produit×campagne,2,derniere_periode_sans_promotion,569,1.2080299867630588,0.5250547296609307,11.914699974893297,0.7371576214234803,5612.0,8558.607142857143,6779.464285714286,183,0.3216168717047452,569,0,,
produit×campagne,2,glm_poisson_regularise,569,0.8193461740780802,-0.28748232337463414,8.08114363607414,0.595387218395293,5612.0,3998.649201221553,4598.170728926186,183,0.3216168717047452,569,0,,
produit×campagne,2,glm_tweedie_regularise,569,0.8260185815337556,-0.2897992965176061,8.146953039661575,0.601580583330169,5612.0,3985.6463479431945,4635.616279567436,183,0.3216168717047452,569,0,,
produit×campagne,2,hurdle_poisson,569,0.8226670871174252,-0.33904052101393833,8.113897527070282,0.6156733581625086,5612.0,3709.304596069778,4616.80769290299,183,0.3216168717047452,569,0,0.24635756567614303,0.6858134956222449
produit×campagne,2,lightgbm_poisson_regularise,569,0.8108511995303641,-0.2891112077985711,7.997358403803873,0.5879100693483921,5612.0,3989.507901834419,4550.496931764404,183,0.3216168717047452,569,0,,
produit×campagne,3,baseline_zero,633,1.0,-1.0,12.838862559241706,1.0,8127.0,0.0,8127.0,48,0.07582938388625593,633,0,,
produit×campagne,3,mean_global_train,633,0.6151203656550797,-0.35676590332845626,7.8974458320360705,0.5663443204098442,8127.0,5227.563503649636,4999.083211678832,48,0.07582938388625593,633,0,,
produit×campagne,3,mean_produit_train,633,0.6342526674752588,-0.3756432116343523,8.14308282554728,0.6232646029988222,8127.0,5074.147619047619,5154.571428571428,48,0.07582938388625593,633,0,,
produit×campagne,3,mean_categorie_remise_train,633,0.5711683867076441,-0.37759934173992354,7.333152415123261,0.5320034662425442,8127.0,5058.250149679641,4641.885478773024,48,0.07582938388625593,633,0,,
produit×campagne,3,taux_pre_campaign_x_duree,633,0.9848872365483663,0.26589059396368364,12.64483186639585,0.9031974546924713,8127.0,10287.892857142857,8004.1785714285725,48,0.07582938388625593,633,0,,
produit×campagne,3,derniere_periode_sans_promotion,633,0.966918033363216,0.23658352229780807,12.414127736402618,0.8909806816783561,8127.0,10049.714285714286,7858.142857142857,48,0.07582938388625593,633,0,,
produit×campagne,3,glm_poisson_regularise,633,0.5486498727611084,-0.3068282354813196,7.044040309525321,0.5012332555435418,8127.0,5633.406930243315,4458.877515929528,48,0.07582938388625593,633,0,,
produit×campagne,3,glm_tweedie_regularise,633,0.5635248103250395,-0.3277055817733077,7.235017588485934,0.5165653097651447,8127.0,5463.736736928328,4579.766133511596,48,0.07582938388625593,633,0,,
produit×campagne,3,hurdle_poisson,633,0.5845587584229393,-0.4128432077761598,7.505069557193092,0.5450255002391959,8127.0,4771.823250403149,4750.709029703227,48,0.07582938388625593,633,0,0.2507736242600472,0.6946916763201871
produit×campagne,3,lightgbm_poisson_regularise,633,0.5349290075357278,-0.33150088836975583,6.867880006702779,0.4909151688618427,8127.0,5432.8922802189945,4347.3680442428595,48,0.07582938388625593,633,0,,
produit×semaine,1,moving_average_4_weeks,8100,0.5252892841755401,-0.08705966229662916,2.107253086419753,0.5065037647976036,32494.0,29665.083333333332,17068.75,4098,0.5059259259259259,8100,0,,
produit×semaine,2,moving_average_4_weeks,7800,0.46251749395663316,-0.03153910467293117,3.2624679487179487,0.45274814155110055,55019.0,53283.75,25447.25,2337,0.2996153846153846,7800,0,,
produit×semaine,3,moving_average_4_weeks,7800,0.49971018632079434,-0.000499823591673527,3.8132371794871793,0.47577745669595606,59521.0,59491.25,29743.25,734,0.0941025641025641,7800,0,,
